locationId,location,parameter,value,dateUtc,dateLocal,unit,latitude,longitude,country,city,isMobile,isAnalysis,entity,sensorType
1948,"Compton","pm25",6.1,"2022-12-30T15:00:00+00:00","2022-12-30T07:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0134,"2022-12-30T15:00:00+00:00","2022-12-30T07:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.016,"2022-12-30T15:00:00+00:00","2022-12-30T07:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0109,"2022-12-30T14:00:00+00:00","2022-12-30T06:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.2,"2022-12-30T14:00:00+00:00","2022-12-30T06:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",8.3,"2022-12-30T14:00:00+00:00","2022-12-30T06:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.017,"2022-12-30T14:00:00+00:00","2022-12-30T06:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.023,"2022-12-30T13:00:00+00:00","2022-12-30T05:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",7.1,"2022-12-30T13:00:00+00:00","2022-12-30T05:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.1,"2022-12-30T13:00:00+00:00","2022-12-30T05:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0075,"2022-12-30T13:00:00+00:00","2022-12-30T05:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.1,"2022-12-30T12:00:00+00:00","2022-12-30T04:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",4.2,"2022-12-30T12:00:00+00:00","2022-12-30T04:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
